locationCode,locationName,propertyCode,lat,lon,depth
RCSW4,SW-200 mab,"conductivity,seawatertemperature,salinity,oxygen",47.934481,-129.107214,1967.5
RISB,Red Island Shoal Buoy,"seawatertemperature",47.312087,-54.090346,0
SAAN.ND1,Saanich Inlet Node Primary Board,"seawatertemperature",48.6509,-123.486712,100
SAAN.ND2,Saanich Inlet Node Secondary Board,"seawatertemperature",48.6509,-123.486712,100
SCBBL,Bottom Boundary Layer,"conductivity,seawatertemperature,salinity",49.040078,-123.426507,300
SCHDW,Simon Fraser University Forensics,"conductivity,seawatertemperature,salinity",49.040151,-123.425451,298.5
SCHDW.O1,Oxygen A,"seawatertemperature,oxygen",49.040151,-123.425451,298.5
SCHDW.O2,Oxygen B,"seawatertemperature,oxygen",49.040263,-123.425415,300
SCVIP,Strait of Georgia VENUS Instrument Platform,"conductivity,seawatertemperature,salinity,oxygen",49.039613,-123.425553,299.266667
SEDDL,Delta Dynamics Laboratory,"conductivity,seawatertemperature,salinity",49.086187,-123.32738,94.8
SEDDL.R1,Current Meter A,"seawatertemperature",49.084219,-123.329142,109
SEDDL.R2,Current Meter B,"seawatertemperature",49.085679,-123.329713,108.5
SEHDW,Simon Fraser University Forensics,"conductivity,seawatertemperature,salinity,oxygen",49.042623,-123.316782,166
SEVIP,Strait of Georgia East VENUS Instrument Platform,"conductivity,seawatertemperature,salinity,oxygen",49.042626,-123.316963,166.725806
SEVIP.C2,CTD Secondary,"conductivity,seawatertemperature,salinity",49.042873,-123.316346,165
SEVIP.E3,Bioacoustic Echosounder AZFP,"seawatertemperature",49.043098,-123.316824,164.75
SEVIP.O2,Oxygen Secondary,"seawatertemperature,oxygen",49.042873,-123.316346,165
SGC.ND1,Strait of Georgia Central Node Primary Board,"seawatertemperature",49.040337,-123.425689,295.666667
SGC.ND2,Strait of Georgia Central Node Secondary Board,"seawatertemperature",49.040337,-123.425689,295.666667
SGE.ND1,Strait of Georgia East Node Primary Board,"seawatertemperature",49.042734,-123.317424,170.333333
SGE.ND2,Strait of Georgia East Node Secondary Board,"seawatertemperature",49.042734,-123.317424,170.333333
SILL,Saanich Inlet Sill,"conductivity,seawatertemperature,salinity,oxygen",48.688689,-123.500214,88.211111
STJB,St. John's Buoy,"seawatertemperature",47.566777,-52.630332,0
SVN8,Patrol 8,"conductivity,seawatertemperature,salinity",48.6493,-123.446,0.009075
USDDL,Delta Dynamics Laboratory,"conductivity,seawatertemperature,salinity",49.084892,-123.329959,109.461538
USDDL.R1,Current Meter A,"seawatertemperature",49.084726,-123.329779,108.833333
USDDL.R2,Current Meter B,"seawatertemperature",49.084715,-123.329728,107.166667
USDDL.R3,Current Meter Upward,"seawatertemperature",49.085027,-123.330117,110.166667
USDDL.R4,Current Meter Downward,"seawatertemperature",49.085018,-123.330097,110.8
USDDL.SD,Sediment Profiler Multi-Frequency,"seawatertemperature",49.084384,-123.330335,110
